,London
0,56.99999999999999
1,57.03454545454545
2,27.743362831858402
3,90.56666666666666
4,60.952987012987
5,173.82888888888886
6,72.84307692307691
7,25.14705882352941
8,3.9085714285714284
9,46.46857142857142
10,70.81818181818181
11,67.36363636363636
12,44.459999999999994
13,35.37931034482759
14,70.67999999999999
15,54.48529411764705
16,60.454545454545446
17,35.365909090909085
18,38.99999999999999
19,45.74074074074073
20,42.40119402985074
21,62.214444444444446
22,44.175
23,56.99999999999999
24,37.26923076923077
25,63.34354838709677
26,24.831683168316832
27,49.4
28,60.0
29,48.51063829787234
30,29.78378378378378
31,31.666666666666668
32,22.523050847457625
33,25.349999999999998
34,54.15
35,39.397058823529406
36,30.303797468354432
37,57.80042553191489
38,45.28333333333333
39,49.39999999999999
40,38.44186046511627
41,53.959999999999994
42,49.53423913043478
