,London
0,60.952987012987
1,32.57142857142857
2,32.723606557377046
3,59.279999999999994
4,50.214285714285715
5,41.74647887323943
6,55.674418604651166
7,48.63999999999999
8,60.35294117647058
9,64.22535211267606
10,50.10989010989011
11,83.82352941176471
12,71.52
13,45.51
14,36.683168316831676
15,80.60399999999998
16,58.78124999999999
17,37.05
18,55.76086956521739
19,48.93396226415094
20,68.61533333333333
21,34.53096774193548
22,44.90909090909091
23,32.836956521739125
24,45.231692307692306
25,55.46448979591836
26,67.94399999999999
27,54.43016949152542
