,urls
0,https://badi.com/es/room/995730?et-room-view-source=search-feed
1,https://badi.com/es/room/1068296?et-room-view-source=search-feed
2,https://badi.com/es/room/1068294?et-room-view-source=search-feed
3,https://badi.com/es/room/1066780?et-room-view-source=search-feed
4,https://badi.com/es/room/1066504?et-room-view-source=search-feed
5,https://badi.com/es/room/1066500?et-room-view-source=search-feed
6,https://badi.com/es/room/1009350?et-room-view-source=search-feed
7,https://badi.com/es/room/994799?et-room-view-source=search-feed
8,https://badi.com/es/room/479157?et-room-view-source=search-feed
9,https://badi.com/es/room/1067326?et-room-view-source=search-feed
10,https://badi.com/es/room/903144?et-room-view-source=search-feed
11,https://badi.com/es/room/1070610?et-room-view-source=search-feed
12,https://badi.com/es/room/810631?et-room-view-source=search-feed
13,https://badi.com/es/room/951698?et-room-view-source=search-feed
14,https://badi.com/es/room/652663?et-room-view-source=search-feed
15,https://badi.com/es/room/1070824?et-room-view-source=search-feed
16,https://badi.com/es/room/1070545?et-room-view-source=search-feed
17,https://badi.com/es/room/1070763?et-room-view-source=search-feed
18,https://badi.com/es/room/1070778?et-room-view-source=search-feed
19,https://badi.com/es/room/1024524?et-room-view-source=search-feed
20,https://badi.com/es/room/654105?et-search-sorting=relevance&et-room-view-source=search-feed
21,https://badi.com/es/room/929805?et-search-sorting=relevance&et-room-view-source=search-feed
22,https://badi.com/es/room/112434?et-search-sorting=relevance&et-room-view-source=search-feed
23,https://badi.com/es/room/1070662?et-search-sorting=relevance&et-room-view-source=search-feed
24,https://badi.com/es/room/958587?et-search-sorting=relevance&et-room-view-source=search-feed
25,https://badi.com/es/room/1070497?et-search-sorting=relevance&et-room-view-source=search-feed
26,https://badi.com/es/room/901495?et-search-sorting=relevance&et-room-view-source=search-feed
27,https://badi.com/es/room/170185?et-search-sorting=relevance&et-room-view-source=search-feed
28,https://badi.com/es/room/1070859?et-search-sorting=relevance&et-room-view-source=search-feed
29,https://badi.com/es/room/1070862?et-search-sorting=relevance&et-room-view-source=search-feed
30,https://badi.com/es/room/1070861?et-search-sorting=relevance&et-room-view-source=search-feed
31,https://badi.com/es/room/1070857?et-search-sorting=relevance&et-room-view-source=search-feed
32,https://badi.com/es/room/1070844?et-search-sorting=relevance&et-room-view-source=search-feed
33,https://badi.com/es/room/1070850?et-search-sorting=relevance&et-room-view-source=search-feed
34,https://badi.com/es/room/1070852?et-search-sorting=relevance&et-room-view-source=search-feed
35,https://badi.com/es/room/1070836?et-search-sorting=relevance&et-room-view-source=search-feed
36,https://badi.com/es/room/1070833?et-search-sorting=relevance&et-room-view-source=search-feed
37,https://badi.com/es/room/912275?et-search-sorting=relevance&et-room-view-source=search-feed
38,https://badi.com/es/room/949372?et-search-sorting=relevance&et-room-view-source=search-feed
39,https://badi.com/es/room/1070822?et-search-sorting=relevance&et-room-view-source=search-feed
