,urls
0,https://www.rightmove.co.uk/properties/130710404#/?channel=RES_LET
1,https://www.rightmove.co.uk/properties/129921671#/?channel=RES_LET
2,https://www.rightmove.co.uk/properties/130937153#/?channel=RES_LET
3,https://www.rightmove.co.uk/properties/130937147#/?channel=RES_LET
4,https://www.rightmove.co.uk/properties/130936976#/?channel=RES_LET
5,https://www.rightmove.co.uk/properties/130936973#/?channel=RES_LET
6,https://www.rightmove.co.uk/properties/130936787#/?channel=RES_LET
7,https://www.rightmove.co.uk/properties/130936772#/?channel=RES_LET
8,https://www.rightmove.co.uk/properties/130936769#/?channel=RES_LET
9,https://www.rightmove.co.uk/properties/127476032#/?channel=RES_LET
10,https://www.rightmove.co.uk/properties/130936709#/?channel=RES_LET
11,https://www.rightmove.co.uk/properties/130936700#/?channel=RES_LET
12,https://www.rightmove.co.uk/properties/130936685#/?channel=RES_LET
13,https://www.rightmove.co.uk/properties/130936676#/?channel=RES_LET
14,https://www.rightmove.co.uk/properties/130936667#/?channel=RES_LET
15,https://www.rightmove.co.uk/properties/130936670#/?channel=RES_LET
16,https://www.rightmove.co.uk/properties/130936655#/?channel=RES_LET
17,https://www.rightmove.co.uk/properties/130736000#/?channel=RES_LET
18,https://www.rightmove.co.uk/properties/130936568#/?channel=RES_LET
19,https://www.rightmove.co.uk/properties/85965579#/?channel=RES_LET
20,https://www.rightmove.co.uk/properties/130217225#/?channel=RES_LET
21,https://www.rightmove.co.uk/properties/130936004#/?channel=RES_LET
22,https://www.rightmove.co.uk/properties/130913837#/?channel=RES_LET
23,https://www.rightmove.co.uk/properties/130721489#/?channel=RES_LET
24,https://www.rightmove.co.uk/properties/130935968#/?channel=RES_LET
25,https://www.rightmove.co.uk/properties/129462683#/?channel=RES_LET
26,https://www.rightmove.co.uk/properties/130935890#/?channel=RES_LET
27,https://www.rightmove.co.uk/properties/130935893#/?channel=RES_LET
28,https://www.rightmove.co.uk/properties/130935770#/?channel=RES_LET
29,https://www.rightmove.co.uk/properties/130896656#/?channel=RES_LET
30,https://www.rightmove.co.uk/properties/130935725#/?channel=RES_LET
31,https://www.rightmove.co.uk/properties/130935728#/?channel=RES_LET
32,https://www.rightmove.co.uk/properties/130935731#/?channel=RES_LET
33,https://www.rightmove.co.uk/properties/130935734#/?channel=RES_LET
34,https://www.rightmove.co.uk/properties/79205453#/?channel=RES_LET
35,https://www.rightmove.co.uk/properties/130935638#/?channel=RES_LET
36,https://www.rightmove.co.uk/properties/130935632#/?channel=RES_LET
37,https://www.rightmove.co.uk/properties/130935572#/?channel=RES_LET
38,https://www.rightmove.co.uk/properties/130935536#/?channel=RES_LET
39,https://www.rightmove.co.uk/properties/82723166#/?channel=RES_LET
40,https://www.rightmove.co.uk/properties/130935428#/?channel=RES_LET
41,https://www.rightmove.co.uk/properties/130935449#/?channel=RES_LET
42,https://www.rightmove.co.uk/properties/130935359#/?channel=RES_LET
43,https://www.rightmove.co.uk/properties/97717514#/?channel=RES_LET
44,https://www.rightmove.co.uk/properties/130855097#/?channel=RES_LET
45,https://www.rightmove.co.uk/properties/130935305#/?channel=RES_LET
46,https://www.rightmove.co.uk/properties/130935260#/?channel=RES_LET
47,https://www.rightmove.co.uk/properties/130935239#/?channel=RES_LET
48,https://www.rightmove.co.uk/properties/108357272#/?channel=RES_LET
49,https://www.rightmove.co.uk/properties/129133256#/?channel=RES_LET
50,https://www.rightmove.co.uk/properties/130770785#/?channel=RES_LET
51,https://www.rightmove.co.uk/properties/130935035#/?channel=RES_LET
52,https://www.rightmove.co.uk/properties/130935029#/?channel=RES_LET
53,https://www.rightmove.co.uk/properties/130935011#/?channel=RES_LET
54,https://www.rightmove.co.uk/properties/130031876#/?channel=RES_LET
55,https://www.rightmove.co.uk/properties/130934963#/?channel=RES_LET
56,https://www.rightmove.co.uk/properties/130934966#/?channel=RES_LET
57,https://www.rightmove.co.uk/properties/130934951#/?channel=RES_LET
58,https://www.rightmove.co.uk/properties/130934942#/?channel=RES_LET
59,https://www.rightmove.co.uk/properties/130934852#/?channel=RES_LET
60,https://www.rightmove.co.uk/properties/130934846#/?channel=RES_LET
61,https://www.rightmove.co.uk/properties/130934825#/?channel=RES_LET
62,https://www.rightmove.co.uk/properties/129355790#/?channel=RES_LET
63,https://www.rightmove.co.uk/properties/130801802#/?channel=RES_LET
64,https://www.rightmove.co.uk/properties/130934810#/?channel=RES_LET
65,https://www.rightmove.co.uk/properties/130934804#/?channel=RES_LET
66,https://www.rightmove.co.uk/properties/130934801#/?channel=RES_LET
67,https://www.rightmove.co.uk/properties/130209659#/?channel=RES_LET
68,https://www.rightmove.co.uk/properties/130934747#/?channel=RES_LET
69,https://www.rightmove.co.uk/properties/130934744#/?channel=RES_LET
70,https://www.rightmove.co.uk/properties/130934735#/?channel=RES_LET
71,https://www.rightmove.co.uk/properties/130650956#/?channel=RES_LET
72,https://www.rightmove.co.uk/properties/130934708#/?channel=RES_LET
73,https://www.rightmove.co.uk/properties/130934705#/?channel=RES_LET
74,https://www.rightmove.co.uk/properties/129491081#/?channel=RES_LET
