,urls
0,https://www.rightmove.co.uk/properties/128688422#/?channel=RES_LET
1,https://www.rightmove.co.uk/properties/125484956#/?channel=RES_LET
2,https://www.rightmove.co.uk/properties/113796251#/?channel=RES_LET
3,https://www.rightmove.co.uk/properties/126889997#/?channel=RES_LET
4,https://www.rightmove.co.uk/properties/127986365#/?channel=RES_LET
5,https://www.rightmove.co.uk/properties/124695995#/?channel=RES_LET
6,https://www.rightmove.co.uk/properties/19896063#/?channel=RES_LET
7,https://www.rightmove.co.uk/properties/122573159#/?channel=RES_LET
8,https://www.rightmove.co.uk/properties/130375295#/?channel=RES_LET
9,https://www.rightmove.co.uk/properties/125510876#/?channel=RES_LET
10,https://www.rightmove.co.uk/properties/130645490#/?channel=RES_LET
11,https://www.rightmove.co.uk/properties/129226772#/?channel=RES_LET
12,https://www.rightmove.co.uk/properties/129113843#/?channel=RES_LET
13,https://www.rightmove.co.uk/properties/85527663#/?channel=RES_LET
14,https://www.rightmove.co.uk/properties/119801303#/?channel=RES_LET
15,https://www.rightmove.co.uk/properties/120069455#/?channel=RES_LET
16,https://www.rightmove.co.uk/properties/117815483#/?channel=RES_LET
17,https://www.rightmove.co.uk/properties/127755986#/?channel=RES_LET
18,https://www.rightmove.co.uk/properties/129004151#/?channel=RES_LET
19,https://www.rightmove.co.uk/properties/74127079#/?channel=RES_LET
20,https://www.rightmove.co.uk/properties/130413308#/?channel=RES_LET
21,https://www.rightmove.co.uk/properties/93971069#/?channel=RES_LET
22,https://www.rightmove.co.uk/properties/127692029#/?channel=RES_LET
23,https://www.rightmove.co.uk/properties/129148199#/?channel=RES_LET
24,https://www.rightmove.co.uk/properties/85544892#/?channel=RES_LET
